Date,vol_BTC,vol_ETH,vol_BNB,vol_SP500,volUS10Y,vol_DJI,vol_Nas,volGold,vol_energy,vol_metal
2019/7/24,3.685117754,6.832528778,5.782548476,0.754083376,2.292682927,0.366410377,1.046738072,0.905187186,2.326295087,1.078414981
2019/7/25,4.292479865,4.254537101,4.011065007,0.634889985,4.272683629,0.869349596,0.791311837,1.610809056,1.599189854,0.730355944
2019/7/26,7.24137931,3.020704219,2.83933518,0.508615732,1.783992285,0.332629094,0.504680708,0.782545396,1.43879981,0.89633012
2019/7/29,3.474621382,3.374320846,4.180540141,0.374383062,1.066408143,0.359240082,0.877072204,0.600096985,1.471313725,1.17272575
2019/7/30,2.296283153,4.000191856,3.303637713,0.539297354,1.699029126,0.568056057,0.750207168,0.58249307,1.428405579,1.301665117
2019/7/31,5.332275342,4.612622566,3.678326722,1.990350224,3.288490284,2.092184154,2.602570081,0.80768611,1.500178077,0.668981285
2019/8/1,5.475915222,2.920922494,4.566050889,2.31449505,9.726603575,2.358161591,2.972895022,2.290693678,6.698749331,1.166851205
2019/8/2,3.177726447,3.191096333,4.128113879,1.070582016,4.340748779,1.211251195,1.428868552,1.907486886,2.524097063,2.028203343
2019/8/5,8.356746327,6.130350613,3.46800143,2.669839774,8.731082654,2.861254527,2.327902056,2.153616821,2.252907824,1.362564416
2019/8/6,9.188304053,6.652484155,3.471971067,1.28323912,5.885780886,1.259377814,1.454930783,1.233170732,2.429308585,1.003140265
2019/8/7,5.89400611,3.828006766,8.870151771,2.304454261,8.192911098,2.433261417,2.429984507,2.513721604,5.155980809,1.40906704
2019/8/8,4.179927163,4.787427326,8.301282051,1.506080481,5.119255381,1.3098321,1.937130008,1.112731179,2.17648227,2.740544694
2019/8/9,2.814769475,6.725858036,6.103286385,1.219742004,3.954154728,1.201029845,1.547944292,0.881184127,3.287307865,1.156568272
2019/8/12,2.117744115,3.07911618,2.352551359,1.194278283,7.317073171,1.366445147,1.249590038,1.324680282,1.99436196,1.6184573
2019/8/13,5.989222337,50.55855162,4.076086957,2.264277318,5.816686251,2.259216261,2.91156357,3.607360086,5.206975423,2.020545038
2019/8/14,9.244332995,13.77036878,9.62962963,1.918960783,7.643714466,2.211549556,1.884079449,1.944802487,4.598390165,1.664521665
2019/8/15,8.425374148,7.039403621,4.270462633,1.094254811,7.92276964,1.173171057,1.257733915,1.038337148,2.515273887,0.829485206
2019/8/16,9.147025814,4.70333243,4.545454545,1.000110777,5.505761844,0.971490006,0.970922304,1.581448394,2.022226077,0.564826701
2019/8/19,6.013363029,5.197381472,5.10771369,0.599250936,3.482587065,0.773881333,0.682054896,1.2951184,1.733465212,0.726930642
2019/8/20,3.3536075,3.777913735,3.608431583,0.828474992,3.737113402,0.80161957,0.875468232,0.941954221,1.97907825,1.207937877
2019/8/21,8.773850022,8.272804956,6.011131725,0.36998663,3.959773727,0.482964943,0.621862562,0.766173717,1.939094734,0.651968774
2019/8/22,4.366155369,6.017131746,3.737971873,1.182709249,4.525728456,1.103791524,1.498683738,0.894622665,2.245135443,1.170148219
2019/8/23,4.937095113,10.09150597,1.66481687,3.232751808,10.24135682,3.172629336,3.744139317,2.341130825,3.213869136,1.313157666
2019/8/26,4.167068397,3.753849421,5.321592649,0.808440859,6.89206762,0.868224549,0.945212026,1.548605878,3.097867901,0.199913081
2019/8/27,3.214594297,2.331439597,5.50996483,1.331400131,4.47761194,1.288584408,1.4369491,1.211182443,1.493990907,1.297577855
2019/8/28,6.595473513,11.31617009,11.40051238,1.280497517,2.997275204,1.552229405,1.290607414,0.968387205,2.355239701,0.760521995
2019/8/29,4.068064482,5.342108384,9.249084249,0.849010798,6.082887701,0.846399681,0.90401451,1.652534389,2.062944199,1.132366818
2019/8/30,3.187138774,2.907944814,4.645917907,0.926375211,3.335557038,0.829556025,1.354570277,1.026301339,3.353449442,1.512949825
2019/9/3,4.45991915,4.037805492,2.666666667,0.775564555,7.387140903,0.842483465,1.121622811,1.807318617,3.114627241,2.227573751
2019/9/4,3.737627978,3.55283483,5.084745763,0.57798746,3.263086336,0.447383408,0.793729961,1.35298157,4.483946911,2.306203182
2019/9/5,1.521732959,2.887878962,8.699472759,0.848790323,7.795527157,0.8723013,0.973222394,3.041233199,2.857592775,1.412571046
